,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.022,0.018,0.181,0.039,0.013,0.021,0.123,0.043,0.02,0.094
AK,0.059,0.145,0.166,0.025,0.056,0.057,0.095,0.155,0.11,0.045
AZ,0.022,0.054,0.044,0.029,0.022,0.022,0.209,0.079,0.026,0.061
AR,0.011,0.021,0.106,0.015,0.012,0.011,0.105,0.017,0.013,0.142
CA,0.128,0.101,0.138,1.561,0.074,0.111,0.251,0.113,0.125,1.458
CO,0.018,0.078,0.057,0.091,0.023,0.018,0.199,0.131,0.056,0.082
CT,0.043,0.094,0.278,0.133,0.038,0.063,0.062,0.099,0.07,0.183
DE,0.027,0.195,0.263,0.043,0.026,0.03,0.19,0.162,0.104,0.101
DC,0.104,0.299,0.148,0.237,0.11,0.105,0.321,0.133,0.203,0.255
FL,0.012,0.049,0.091,0.044,0.027,0.012,0.225,0.039,0.028,0.613
GA,0.017,0.051,0.134,0.032,0.016,0.017,0.214,0.028,0.023,0.019
HI,0.043,0.143,0.017,0.08,0.056,0.043,0.206,0.072,0.09,0.143
ID,0.028,0.183,0.037,0.033,0.03,0.027,0.244,0.042,0.111,0.095
IL,0.019,0.054,0.105,0.054,0.011,0.019,0.111,0.035,0.038,0.071
IN,0.022,0.035,0.066,0.024,0.024,0.022,0.157,0.032,0.029,0.035
IA,0.028,0.034,0.079,0.016,0.035,0.028,0.098,0.035,0.022,0.156
KS,0.018,0.088,0.135,0.046,0.016,0.02,0.024,0.056,0.047,0.116
KY,0.017,0.02,0.158,0.018,0.014,0.017,0.116,0.041,0.018,0.1
LA,0.035,0.095,0.169,0.017,0.057,0.035,0.042,0.129,0.033,0.139
ME,0.02,0.118,0.192,0.034,0.016,0.024,0.138,0.074,0.052,0.179
MD,0.017,0.044,0.179,0.029,0.03,0.018,0.184,0.082,0.033,0.434
MA,0.029,0.019,0.08,0.051,0.04,0.028,0.193,0.034,0.022,0.055
MI,0.01,0.015,0.034,0.064,0.011,0.01,0.185,0.115,0.009,0.029
MN,0.02,0.02,0.161,0.021,0.018,0.02,0.15,0.056,0.019,0.024
MS,0.027,0.028,0.23,0.072,0.023,0.027,0.077,0.107,0.026,0.246
MO,0.022,0.059,0.189,0.029,0.016,0.022,0.091,0.045,0.042,0.133
MT,0.062,0.192,0.068,0.044,0.046,0.053,0.182,0.116,0.131,0.143
NE,0.022,0.037,0.11,0.02,0.033,0.022,0.12,0.039,0.031,0.247
NV,0.064,0.116,0.123,0.024,0.03,0.064,0.246,0.104,0.045,0.166
NH,0.046,0.073,0.292,0.063,0.042,0.047,0.137,0.142,0.026,0.075
NJ,0.023,0.041,0.179,0.055,0.015,0.023,0.145,0.037,0.033,0.148
NM,0.011,0.033,0.229,0.044,0.009,0.012,0.063,0.125,0.021,0.241
NY,0.034,0.076,0.125,0.152,0.026,0.036,0.123,0.06,0.062,0.336
NC,0.02,0.027,0.109,0.025,0.046,0.02,0.202,0.045,0.02,0.052
ND,0.055,0.102,0.049,0.226,0.042,0.055,0.151,0.181,0.075,0.119
OH,0.007,0.052,0.067,0.03,0.006,0.007,0.12,0.041,0.031,0.183
OK,0.073,0.187,0.208,0.09,0.057,0.073,0.125,0.124,0.114,0.163
OR,0.04,0.124,0.024,0.051,0.046,0.04,0.256,0.051,0.08,0.163
PA,0.015,0.065,0.1,0.027,0.011,0.015,0.119,0.027,0.043,0.1
RI,0.031,0.11,0.185,0.057,0.038,0.046,0.106,0.064,0.055,0.089
SC,0.024,0.073,0.03,0.023,0.026,0.025,0.22,0.032,0.048,0.089
SD,0.048,0.175,0.134,0.035,0.042,0.038,0.134,0.122,0.111,0.049
TN,0.014,0.042,0.099,0.015,0.024,0.014,0.227,0.026,0.025,0.018
TX,0.051,0.093,0.07,0.143,0.024,0.043,0.096,0.056,0.087,0.313
UT,0.076,0.163,0.135,0.167,0.085,0.077,0.328,0.08,0.119,0.146
VT,0.029,0.255,0.195,0.313,0.062,0.08,0.111,0.1,0.134,0.177
VA,0.028,0.046,0.168,0.046,0.019,0.028,0.151,0.026,0.038,0.063
WA,0.044,0.082,0.059,0.073,0.044,0.044,0.252,0.064,0.062,0.15
WV,0.019,0.029,0.175,0.221,0.025,0.019,0.028,0.101,0.02,0.145
WI,0.013,0.036,0.151,0.025,0.009,0.013,0.122,0.032,0.025,0.085
WY,0.038,0.163,0.143,0.107,0.042,0.041,0.069,0.07,0.111,0.183
mean,0.041,0.109,0.147,0.237,0.039,0.042,0.169,0.086,0.071,0.271
