,MC,HR,VT
AL,0.701452971737846,0.2985470282916738,0.0
AK,0.685256915922946,0.31474308402040235,0.0
AZ,0.7271234437842379,0.27287655625022633,0.0
AR,0.7742828690930262,0.22571713089594111,0.0
CA,0.6983776156974182,0.3016223844233207,0.0
CO,0.8538791297031293,0.14612087026601725,0.0
CT,0.672389554057587,0.3276104460137741,0.0
DE,0.785913928533473,0.21408607143602434,0.0
DC,0.570097041160764,0.42990295874044865,0.0
FL,0.741654974706715,0.2583450253829518,0.0
GA,0.7925471793920723,0.20745282062211176,0.0
HI,0.429833550526026,0.570166449455554,0.0
ID,0.7365523705234286,0.2634476294330924,0.0
IL,0.6352362560397276,0.3456770634458685,0.019086680586223998
IN,0.8300197591541875,0.1699802408476033,0.0
IA,0.8479777079918648,0.1520222920154559,0.0
KS,0.6399880364212175,0.3600119635574652,0.0
KY,0.6782398090792932,0.3217601909246763,0.0
LA,0.7699236593521829,0.23007634064818866,0.0
ME,0.6766777484423221,0.3233222515352291,0.0
MD,1.0000000000128666,0.0,0.0
MA,0.6406193681426229,0.3593806319035474,0.0
MI,0.8393757180521487,0.13064819866527203,0.02997608327792279
MN,0.758973199916865,0.2410268001046027,0.0
MS,0.8747214842985475,0.12527851567240642,0.0
MO,0.7048271167627923,0.29517288328292396,0.0
MT,0.7732483581976468,0.22675164176552962,0.0
NE,0.8409506891925819,0.1590493107768491,0.0
NV,0.3179249657392145,0.38423552412438305,0.29783951012921017
NH,0.8516540148851516,0.14834598508755556,0.0
NJ,0.8956987936304963,0.1043012063919355,0.0
NM,0.3859155865319366,0.6140844134517944,0.0
NY,0.8247633582790663,0.17523664176490877,0.0
NC,0.6764795005985783,0.3235204994707761,0.0
ND,0.2596962287221021,0.7054650491270069,0.03483872172722439
OH,0.7169971272857851,0.16785264321392404,0.1151502295281904
OK,0.5457517686120067,0.45424823135046344,0.0
OR,0.7179403165627133,0.28205968341334486,0.0
PA,0.6915192285453784,0.256571890640002,0.051908880880402866
RI,0.6350083055274369,0.3649916944128558,0.0
SC,0.694201893302362,0.30579810667908663,0.0
SD,0.8081649794154637,0.1918350205692614,0.0
TN,0.5948383497583692,0.4051616502568283,0.0
TX,0.6452346494351558,0.35476535063529907,0.0
UT,0.728548485205742,0.27145151475179374,0.0
VT,0.7771049314572449,0.22289506849141336,0.0
VA,0.8160522881735816,0.18394771185855055,0.0
WA,0.6879477341139458,0.31205226591711593,0.0
WV,0.682452356434498,0.3175476435278815,0.0
WI,0.6646324070737132,0.32348495167612057,0.011882641259236219
WY,0.5486245067958058,0.45137549308197933,0.0
