,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.042388992876941076
7,0.0
8,0.06094705449502783
9,0.0
10,0.0
11,0.08735672823883843
12,0.0
13,0.06526849639993872
14,0.05793433236338378
15,0.08338901349770217
16,0.06015106145927677
17,0.061749869702055094
18,0.0553948748779895
19,0.023170350753669338
20,0.0514043605596068
21,0.02488348043793911
22,0.025837029280304864
23,0.02953961276202213
24,0.03182723662109462
25,0.0006618537212827099
26,0.002030701845326329
27,0.0
28,0.01803670073725036
29,0.020923117997728946
30,0.04898222925830629
31,9.821966494550464e-05
32,0.0
33,0.0
34,0.0
35,0.01310518992017103
36,0.0
37,0.0
38,0.0
39,0.0
40,0.002894981788855181
41,0.0
42,0.0
43,0.008718856258540072
44,0.018672890400694777
45,0.0
46,0.009633465595758055
47,0.0
48,0.0
49,0.0
50,2.218485198084551
