,MC,HR,VT,intercept
AL,1.3387158240535741,-0.10078069966681319,-0.2371259802481787,-0.01573452458315927
AK,1.330904389021306,-0.0962444506549632,-0.23400490287651926,-0.012676147079030642
AZ,1.3571064855940407,-0.1037766474236429,-0.2527092484279013,-0.012590968076967357
AR,1.3381779934818117,-0.10036464871477221,-0.2369904109397447,-0.016033623017875698
CA,1.3405303914369662,-0.10079750160168618,-0.23885391662738265,-0.017040929331578525
CO,1.3367788957738573,-0.10207885805706818,-0.2339472888395462,-0.014801037234015268
CT,1.3257403994147474,-0.09401408000757333,-0.2308239450146326,-0.017210152136094337
DE,1.354139032745,-0.11209371051312034,-0.24146769307381039,-0.011160968498604262
DC,1.2672545457165028,-0.06392717194805836,-0.20197045728292262,-0.026458794004138753
FL,1.3895136925284541,-0.11407122996116759,-0.2757492551498031,0.0046989894857993875
GA,1.3451531721354295,-0.1060081317531193,-0.2382373133154166,-0.017495482940763196
HI,1.3310601621960079,-0.0942403918106135,-0.2357597369608473,-0.020799138376549564
ID,1.3364813872324544,-0.09932312403664129,-0.2363209539862986,-0.01629943785946253
IL,1.340862569070927,-0.10135723130174881,-0.23834821968386286,-0.022077245352171815
IN,1.3398151932771272,-0.10143178984270917,-0.23756483847024465,-0.01589302687266425
IA,1.3391677295536824,-0.09828445053797782,-0.2401423110979364,-0.014176651311998967
KS,1.3288715246773106,-0.09214731795417605,-0.23595841959562552,-0.01475145782561782
KY,1.3381721655723435,-0.1006982931751608,-0.2366653076539171,-0.01569445833030514
LA,1.3722345449464102,-0.12757958061950075,-0.24387480070071327,-0.015563941006227822
ME,1.3371863038462746,-0.09764693540161942,-0.23864657051029736,-0.01742052144328099
MD,1.339091563374428,-0.1009549733373081,-0.23731398518117022,-0.015970485089287223
MA,1.34126584872245,-0.10142130780309644,-0.23898791445866174,-0.01658406891676023
MI,1.3364567971100978,-0.09805963361149564,-0.23764416440021352,-0.014735902680897084
MN,1.3396320509340285,-0.10099892405615488,-0.23787922235109588,-0.014813964272228475
MS,1.334779484352692,-0.10269544455107113,-0.23132905979228321,-0.014544519919972743
MO,1.3417580247902048,-0.10185776627482354,-0.23911596384816966,-0.01533266100951991
MT,1.335209081681853,-0.10474247477692186,-0.2290482843818266,-0.027751760507875645
NE,1.33913458885294,-0.10132237262620669,-0.2369842651221809,-0.016123907874593613
NV,1.3683050508676886,-0.14735799334011174,-0.2202207404995682,-0.01359115585449544
NH,1.3401060269076208,-0.09816364473453221,-0.24101859354407132,-0.018086324057303926
NJ,1.3405218826816951,-0.10164482006685169,-0.23811286610831783,-0.01492587987475602
NM,1.3359642035948534,-0.10090821488142437,-0.23430629299929384,-0.014506954111759285
NY,1.3418579149831935,-0.09838649330078814,-0.24220246908250725,-0.024241799739417758
NC,1.3379731852242667,-0.10003906010063135,-0.2371602265950285,-0.015109010192002614
ND,1.297873140861513,-0.03406597946268802,-0.26360509141081073,-0.003928609432737318
OH,1.3382926198928515,-0.10078401856051228,-0.23664046144447293,-0.016798451985337692
OK,1.3237818964592405,-0.08745002679332606,-0.2355327928847178,-0.015449616174446845
OR,1.353939851020393,-0.11101852597175674,-0.2421162177521684,-0.015530648004521197
PA,1.3392008145637273,-0.10011301637676723,-0.23813255706651226,-0.01839702329804993
RI,1.3402385360295965,-0.10316473143027019,-0.23643314557604572,-0.012374276812980867
SC,1.3362802513876526,-0.09893497467758769,-0.23653917899924137,-0.015725903829086008
SD,1.3363869769668788,-0.10068014366922162,-0.23501995806539688,-0.013308021464858655
TN,1.3415206179496715,-0.10335720870474024,-0.23732441154422887,-0.016236985519118008
TX,1.3424359544604167,-0.10448258648586323,-0.23722154459269001,-0.014306056807647849
UT,1.3129958562392041,-0.08755115826441665,-0.22450551594365475,-0.018470643328399206
VT,1.3387259733553494,-0.10083226511401652,-0.23709143841290195,-0.015601170053745506
VA,1.3377127101081885,-0.10037728543985741,-0.2364829372140515,-0.016509362079485612
WA,1.3284795917209817,-0.09687796929672338,-0.23088221353983068,-0.01414726157443269
WV,1.3353034178572698,-0.10103703925127208,-0.23366672917017667,-0.011497265404315726
WI,1.338772075448549,-0.10128258752129285,-0.2366553676185334,-0.016145933682132352
WY,1.3453033552950018,-0.10644625338095551,-0.23795541615721472,-0.017556850863616802
