,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.008,0.007,0.029,0.017,0.005,0.007,0.029,0.003,0.008,0.024
AK,0.008,0.015,0.024,0.035,0.013,0.015,0.01,0.008,0.008,0.01
AZ,0.003,0.004,0.025,0.01,0.005,0.004,0.038,0.01,0.003,0.013
AR,0.004,0.004,0.005,0.004,0.004,0.004,0.023,0.005,0.004,0.028
CA,0.02,0.016,0.071,0.432,0.013,0.017,0.053,0.008,0.019,0.423
CO,0.013,0.021,0.035,0.021,0.017,0.02,0.033,0.01,0.015,0.024
CT,0.015,0.026,0.025,0.032,0.02,0.022,0.015,0.015,0.017,0.049
DE,0.007,0.012,0.017,0.026,0.004,0.006,0.045,0.013,0.006,0.038
DC,0.046,0.075,0.138,0.059,0.062,0.07,0.089,0.032,0.05,0.112
FL,0.014,0.008,0.029,0.068,0.008,0.008,0.041,0.029,0.014,0.111
GA,0.002,0.01,0.005,0.008,0.006,0.007,0.044,0.003,0.002,0.006
HI,0.013,0.017,0.012,0.015,0.015,0.017,0.043,0.015,0.013,0.032
ID,0.005,0.022,0.028,0.017,0.014,0.018,0.042,0.003,0.006,0.031
IL,0.008,0.006,0.006,0.009,0.006,0.006,0.029,0.012,0.007,0.062
IN,0.005,0.008,0.017,0.007,0.006,0.006,0.04,0.008,0.005,0.006
IA,0.004,0.006,0.015,0.009,0.005,0.005,0.026,0.007,0.004,0.052
KS,0.011,0.027,0.005,0.014,0.022,0.023,0.005,0.014,0.013,0.021
KY,0.004,0.004,0.018,0.007,0.003,0.004,0.028,0.004,0.004,0.023
LA,0.004,0.018,0.008,0.012,0.015,0.017,0.01,0.007,0.004,0.035
ME,0.003,0.01,0.024,0.012,0.009,0.008,0.033,0.006,0.004,0.04
MD,0.006,0.011,0.01,0.01,0.01,0.009,0.042,0.009,0.007,0.088
MA,0.011,0.009,0.043,0.013,0.008,0.01,0.046,0.005,0.01,0.011
MI,0.003,0.015,0.013,0.033,0.012,0.009,0.05,0.008,0.004,0.006
MN,0.004,0.003,0.004,0.006,0.003,0.003,0.034,0.004,0.004,0.008
MS,0.019,0.018,0.055,0.04,0.013,0.019,0.018,0.012,0.019,0.095
MO,0.005,0.011,0.03,0.015,0.007,0.009,0.023,0.003,0.006,0.029
MT,0.019,0.014,0.036,0.008,0.017,0.016,0.043,0.018,0.019,0.054
NE,0.003,0.003,0.019,0.01,0.003,0.002,0.021,0.004,0.003,0.041
NV,0.019,0.009,0.044,0.188,0.007,0.009,0.039,0.016,0.018,0.022
NH,0.01,0.012,0.03,0.021,0.01,0.011,0.029,0.009,0.011,0.011
NJ,0.003,0.007,0.014,0.016,0.003,0.004,0.035,0.004,0.002,0.04
NM,0.009,0.011,0.035,0.028,0.007,0.011,0.014,0.004,0.009,0.048
NY,0.011,0.01,0.031,0.121,0.012,0.01,0.032,0.025,0.011,0.092
NC,0.003,0.004,0.003,0.002,0.003,0.003,0.043,0.003,0.002,0.011
ND,0.033,0.043,0.127,0.049,0.048,0.035,0.032,0.023,0.033,0.06
OH,0.002,0.004,0.005,0.029,0.002,0.003,0.032,0.002,0.002,0.044
OK,0.011,0.041,0.011,0.011,0.031,0.032,0.03,0.014,0.013,0.038
OR,0.011,0.032,0.033,0.011,0.022,0.024,0.06,0.01,0.014,0.041
PA,0.004,0.008,0.014,0.009,0.006,0.006,0.031,0.009,0.005,0.044
RI,0.005,0.003,0.01,0.068,0.003,0.004,0.028,0.004,0.005,0.06
SC,0.005,0.015,0.014,0.016,0.009,0.011,0.046,0.004,0.006,0.021
SD,0.008,0.005,0.026,0.016,0.009,0.006,0.033,0.005,0.008,0.019
TN,0.002,0.008,0.004,0.002,0.006,0.006,0.05,0.002,0.002,0.004
TX,0.008,0.017,0.02,0.069,0.012,0.01,0.017,0.005,0.007,0.067
UT,0.019,0.028,0.051,0.059,0.023,0.027,0.063,0.012,0.02,0.05
VT,0.006,0.003,0.021,0.087,0.002,0.004,0.023,0.002,0.006,0.077
VA,0.005,0.011,0.009,0.014,0.009,0.009,0.032,0.005,0.006,0.013
WA,0.017,0.023,0.052,0.021,0.016,0.021,0.059,0.009,0.018,0.058
WV,0.02,0.024,0.03,0.144,0.017,0.022,0.007,0.018,0.02,0.042
WI,0.006,0.005,0.008,0.008,0.005,0.005,0.03,0.006,0.006,0.033
WY,0.006,0.029,0.017,0.03,0.022,0.026,0.012,0.006,0.007,0.023
mean,0.013,0.019,0.037,0.077,0.016,0.017,0.037,0.011,0.013,0.076
