,0
0,-0.01882182324076228
1,-0.0
2,-0.0
3,0.00388755761072756
4,-0.0
5,-0.02283278339213102
6,-0.0
7,-0.0
8,-0.0
9,-0.0
10,0.07831141516206239
11,0.18091900719651907
12,0.052294868880901006
13,0.07003108292893578
14,0.04651955680314894
15,0.0025057537798943105
16,0.13402444512909878
17,0.0
18,0.02649623674963773
19,0.0
20,0.0
21,0.0039388962728852586
22,0.11539364599475924
23,0.040526022743201245
24,0.030085252367735446
25,0.0
26,0.0
27,-0.04069647993695216
28,0.0
29,0.1291059889364934
30,0.07669094862085762
31,0.0
32,0.0
33,-0.060937013728902756
34,-0.0
35,0.02124963370045622
36,0.0
37,0.048609720638684364
38,0.0
39,0.009663038537001113
40,0.008709962728919293
41,-0.0
42,0.0
43,0.0
44,0.00861705157895666
45,-0.0
46,0.07337293443096114
47,-0.0
48,-0.12570023387902046
49,-0.0
50,2.5383075209139
