,MC,HR,VT,intercept
AL,0.7773657962559818,-0.7312318152772529,-0.29035058505143785,0.884285083535881
AK,0.7882168115073951,-0.7581241417508591,-0.2855856628987459,0.8890413839218049
AZ,0.7974788801462165,-0.7219559648310905,-0.33982082577759054,0.8980875065821752
AR,0.8493511240730776,-0.8340410996156146,-0.3660706843747267,0.9675655190635735
CA,0.7985668037004322,-0.554026712010429,-0.28583667433898774,0.7489162577564981
CO,0.7838733092987703,-0.778506641314872,-0.2831169372394591,0.9130169030168072
CT,0.7360678671118246,-0.7008575016902228,-0.22048433206143292,0.8396734842835115
DE,0.7177695349653392,-0.796492845290703,-0.24842623172275147,0.9416053055051337
DC,0.7590605850226663,-0.7258898576069457,-0.28488307127722856,0.892112825072967
FL,0.721020794287539,-0.7320940277262277,-0.26517022927258593,0.9065157465640199
GA,0.7496641356515921,-0.7284146146687598,-0.2879065292433429,0.8991110059170658
HI,0.7719588248857422,-0.6948516362567714,-0.3039334085012736,0.8716694176182971
ID,0.8142610626680916,-0.6887632258517469,-0.29837863006100696,0.8429700425569929
IL,0.7575464892088364,-0.7151025473547448,-0.28340323405001044,0.8847028553891216
IN,0.757901598747486,-0.7137001052603856,-0.2836966441747637,0.8835499108117202
IA,0.6483511214702554,-0.47629123508712723,-0.21903518120874094,0.757173651574975
KS,0.6807686196761799,-0.7715739476777761,-0.22669679901780537,0.9419547075135603
KY,0.8235479937597487,-0.6749478494705683,-0.34318890010091396,0.8489484803529219
LA,0.7683458075267995,-0.770306918176739,-0.26701667129878326,0.8993980943454102
ME,0.7441559788942405,-0.757193946133153,-0.27124293524268595,0.9168318293743891
MD,0.7683269530913683,-0.7552235659605213,-0.2876181793402285,0.90640666063135
MA,0.765919668979067,-0.6458853931587898,-0.2823346568717804,0.8313852316540257
MI,0.7757686142891898,-0.754970366335651,-0.3003736342023634,0.9100776077353625
MN,0.7639274773503584,-0.5566120332795658,-0.28655875250789986,0.7749376242720791
MS,0.7139267794725495,-0.7534843989881226,-0.2530423294124572,0.9229433775631902
MO,0.7577957924414972,-0.7368694804653572,-0.27535167666314975,0.8925253537113653
MT,0.7240411347469224,-0.5876308984881298,-0.2621428913582916,0.8053955021738257
NE,0.7214338226592776,-0.5058752636061685,-0.2870830115882375,0.7745201989637682
NV,0.6352184054457662,-0.8143833144690928,-0.20443066989637604,0.974404603993175
NH,0.7526030261374597,-0.6985851787569834,-0.2806930729741475,0.8735680717898751
NJ,0.7756800518685288,-0.784191786770124,-0.28935046722943625,0.9225503961738007
NM,0.7825538746927595,-0.73427963267068,-0.30998590479889465,0.901501518412503
NY,0.7363135244435822,-0.7073905973860486,-0.25914048340607665,0.8755535398878336
NC,0.775390905890538,-0.7437379711846552,-0.30130657944467576,0.9030738769833059
ND,0.8480555348472828,-1.0853847731342765,-0.34568263893139184,1.1319016951348773
OH,0.7261380500706038,-0.7164983720375029,-0.2480057538796261,0.8876774872489532
OK,0.7657420396317289,-0.5822277340474564,-0.29454147020551147,0.7917758775950895
OR,0.7438761334117908,-0.7318790564730359,-0.27838205159069573,0.9007247668196631
PA,0.7816724647653088,-0.707936222561378,-0.3054157889746131,0.8758324184321769
RI,0.7646656439478463,-0.7181660986892466,-0.28829420276122875,0.8846611322046398
SC,0.7586840975638732,-0.7172588669605526,-0.2832944649665604,0.8855500238651186
SD,0.8382180386304524,-0.5231448152324334,-0.4058925364637044,0.7835949022058092
TN,0.7721741261449171,-0.7810719510460993,-0.30126880526588506,0.9311923520670801
TX,0.7640090332207928,-0.7036996199356267,-0.2833237734042191,0.8743371120541759
UT,0.6949892803787647,-0.6850210809148823,-0.25520913304373916,0.883370454994818
VT,0.7703771812124508,-0.6820136620071016,-0.297364396135238,0.8613672648578466
VA,0.7573365348166019,-0.7177036577267026,-0.28257711833409327,0.8858305085447647
WA,0.8212673779351548,-0.7708523566049135,-0.31817358336355417,0.9071355243916114
WV,0.6973185210423257,-0.740550734139438,-0.2517409492990471,0.9273247589782464
WI,0.7579772281964026,-0.7451970217520878,-0.2671929212234959,0.8893646358875635
WY,0.7579349924647698,-0.7137513781893909,-0.2838876989541903,0.8838005311566206
