,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.341,0.405,0.398,0.343,0.38,0.371,0.36,0.395,0.383,0.414
AK,0.523,0.528,0.504,0.549,0.542,0.464,0.747,0.453,0.471,0.566
AZ,0.217,0.171,0.208,0.197,0.197,0.204,0.222,0.207,0.172,0.335
AR,0.504,0.291,0.527,0.526,0.457,0.454,0.524,0.345,0.419,0.475
CA,0.453,0.339,0.473,0.449,0.405,0.391,0.478,0.382,0.37,0.372
CO,0.257,0.456,0.34,0.165,0.371,0.349,0.368,0.333,0.329,0.28
CT,0.327,0.651,0.336,0.352,0.329,0.341,0.206,0.579,0.456,0.359
DE,0.399,0.693,0.734,0.407,0.82,0.728,0.792,0.412,0.549,0.558
DC,0.87,0.747,0.811,0.754,0.859,0.828,0.874,0.838,0.834,0.856
FL,0.327,0.202,0.34,0.34,0.306,0.306,0.289,0.311,0.279,0.388
GA,0.374,0.384,0.384,0.417,0.376,0.38,0.328,0.429,0.373,0.349
HI,0.671,0.54,0.553,0.571,0.527,0.551,0.342,0.562,0.545,0.679
ID,0.4,0.474,0.404,0.402,0.407,0.404,0.349,0.413,0.421,0.335
IL,0.215,0.38,0.264,0.247,0.24,0.247,0.294,0.256,0.273,0.385
IN,0.423,0.414,0.395,0.404,0.415,0.411,0.531,0.426,0.407,0.686
IA,0.336,0.39,0.364,0.252,0.338,0.344,0.413,0.353,0.357,0.298
KS,0.226,0.331,0.375,0.275,0.214,0.224,0.344,0.518,0.248,0.557
KY,0.547,0.459,0.542,0.543,0.573,0.546,0.663,0.505,0.493,0.604
LA,0.532,0.506,0.69,0.649,0.671,0.615,0.598,0.601,0.589,0.492
ME,0.524,0.656,0.51,0.507,0.542,0.532,0.549,0.646,0.569,0.661
MD,0.537,0.525,0.436,0.523,0.432,0.487,0.443,0.605,0.517,0.755
MA,0.472,0.516,0.548,0.517,0.554,0.544,0.666,0.436,0.473,0.496
MI,0.489,0.562,0.452,0.376,0.471,0.452,0.474,0.557,0.48,0.605
MN,0.341,0.36,0.386,0.387,0.373,0.358,0.365,0.327,0.333,0.358
MS,0.61,0.561,0.657,0.581,0.67,0.657,0.836,0.58,0.605,0.593
MO,0.259,0.536,0.287,0.297,0.262,0.259,0.319,0.412,0.369,0.826
MT,0.385,0.3,0.5,0.525,0.502,0.448,0.476,0.364,0.375,0.375
NE,0.381,0.386,0.445,0.354,0.515,0.445,0.478,0.339,0.371,0.454
NV,0.59,0.552,0.535,0.515,0.488,0.529,0.498,0.599,0.56,0.588
NH,0.635,0.862,0.648,0.658,0.651,0.683,0.709,0.759,0.74,0.773
NJ,0.39,0.343,0.448,0.469,0.44,0.41,0.467,0.301,0.368,0.351
NM,0.446,0.278,0.409,0.375,0.498,0.446,0.448,0.284,0.353,0.75
NY,0.413,0.466,0.386,0.359,0.397,0.386,0.389,0.481,0.4,0.563
NC,0.422,0.449,0.426,0.37,0.557,0.427,0.297,0.44,0.431,0.538
ND,0.685,0.539,0.781,0.69,0.779,0.781,0.696,0.572,0.631,0.572
OH,0.194,0.191,0.19,0.177,0.176,0.168,0.245,0.273,0.171,0.347
OK,0.882,0.744,0.776,0.776,0.794,0.791,0.798,0.849,0.802,0.863
OR,0.646,0.436,0.519,0.451,0.503,0.515,0.514,0.552,0.507,0.587
PA,0.481,0.351,0.513,0.453,0.512,0.484,0.409,0.434,0.416,0.384
RI,0.44,0.351,0.557,0.423,0.691,0.497,0.495,0.45,0.446,0.489
SC,0.448,0.558,0.463,0.413,0.451,0.45,0.384,0.504,0.49,0.525
SD,0.378,0.335,0.413,0.413,0.436,0.407,0.611,0.313,0.354,0.348
TN,0.557,0.623,0.483,0.481,0.519,0.513,0.609,0.673,0.555,0.79
TX,0.331,0.388,0.339,0.361,0.316,0.334,0.249,0.283,0.312,0.322
UT,0.478,0.478,0.479,0.601,0.499,0.475,0.423,0.62,0.499,0.573
VT,0.469,0.395,0.407,0.401,0.403,0.401,0.461,0.43,0.419,0.386
VA,0.211,0.255,0.225,0.212,0.213,0.209,0.33,0.167,0.207,0.383
WA,0.362,0.46,0.463,0.451,0.501,0.463,0.509,0.531,0.47,0.518
WV,0.483,0.368,0.603,0.709,0.873,0.527,0.669,0.456,0.455,0.625
WI,0.297,0.392,0.346,0.317,0.296,0.3,0.417,0.394,0.359,0.487
WY,0.563,0.371,0.576,0.51,0.432,0.482,0.495,0.413,0.426,0.63
mean,0.471,0.472,0.488,0.463,0.502,0.474,0.507,0.481,0.461,0.543
