,MC,HR,VT,Abadie
0,0.0,0.3495333349888691,0.6504666791982153,0.0
1,0.0,0.0,0.7656238130463403,0.2343761947944766
2,0.09212574451726649,0.0,0.45617632187558865,0.45169793168431893
3,0.0,0.0,0.720544289728545,0.2794557132507719
4,0.0,0.16245841262288951,0.8375415865627879,0.0
5,0.0,0.19472628830615196,0.7940162896666353,0.01125742228356529
6,0.0,0.0,0.8347577083382322,0.16524229049274555
7,0.0,0.18848675714363095,0.0,0.8115132523515892
8,0.0,0.5399847238348694,0.4600152952343903,0.0
9,0.12832162180294684,0.5985732845930817,0.27310509286538404,0.0
10,0.0,0.0,0.7642685856424434,0.23573141371452996
11,0.06556922944714158,0.0,0.9133349905075678,0.021095779656947842
12,0.014047605582846312,0.0,0.9859523988662765,0.0
13,0.4828140623740657,0.3320680985742541,0.18511783775678917,0.0
14,0.14715307873832578,0.0,0.0,0.8528469289153324
15,0.0,0.0,0.6823358246930101,0.3176641750384512
16,0.0,0.0,0.0,1.0000000000334748
17,0.0,0.0,0.9999999996412423,0.0
18,0.0,0.0,0.9144825169351459,0.08551748290635847
19,0.4799359501223581,0.0,0.520064049194335,0.0
20,0.20639199394338037,0.0,0.7614024578508292,0.0322055479789479
21,0.0,0.0,0.5612986246283571,0.43870139210220005
22,0.0,0.0,0.989584008972348,0.010415993013908808
23,0.0,0.3168432886620404,0.5683520089476531,0.1148046986721238
24,0.03528912081346141,0.016208363989512007,0.6750097727217511,0.2734927419562152
