,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.507,0.434,0.662,0.506,0.56,0.579,0.482,0.496,0.44,0.489
AK,0.378,0.471,0.412,0.473,0.368,0.453,0.782,0.439,0.453,0.402
AZ,0.349,0.436,0.346,0.348,0.445,0.348,0.427,0.418,0.408,0.475
AR,0.386,0.368,0.402,0.401,0.375,0.402,0.58,0.297,0.374,0.282
CA,0.303,0.236,0.295,0.353,0.233,0.29,0.288,0.246,0.23,0.189
CO,0.278,0.319,0.253,0.321,0.382,0.278,0.315,0.214,0.265,0.429
CT,0.326,0.364,0.365,0.414,0.583,0.326,0.303,0.264,0.329,0.275
DE,0.256,0.23,0.324,0.259,0.42,0.303,0.321,0.372,0.275,0.543
DC,0.322,0.25,0.512,0.147,0.61,0.405,0.494,0.344,0.436,0.212
FL,0.098,0.181,0.091,0.187,0.261,0.103,0.165,0.251,0.152,0.156
GA,0.275,0.26,0.389,0.333,0.823,0.26,0.364,0.344,0.305,0.231
HI,0.314,0.216,0.496,0.253,0.42,0.496,0.414,0.359,0.422,0.432
ID,0.572,0.64,0.635,0.655,0.685,0.593,0.688,0.687,0.668,0.566
IL,0.235,0.259,0.261,0.257,0.198,0.259,0.391,0.189,0.257,0.168
IN,0.433,0.485,0.378,0.538,0.416,0.401,0.367,0.414,0.385,0.458
IA,0.416,0.437,0.519,0.451,0.452,0.488,0.516,0.502,0.484,0.514
KS,0.212,0.256,0.201,0.389,0.335,0.188,0.236,0.32,0.234,0.328
KY,0.388,0.405,0.209,0.351,0.467,0.383,0.398,0.281,0.368,0.366
LA,0.49,0.405,0.501,0.41,0.461,0.475,0.285,0.235,0.408,0.249
ME,0.292,0.303,0.344,0.432,0.487,0.344,0.299,0.36,0.284,0.433
MD,0.556,0.558,0.312,0.488,0.441,0.387,0.283,0.415,0.459,0.379
MA,0.339,0.38,0.161,0.102,0.163,0.181,0.77,0.259,0.182,0.161
MI,0.234,0.251,0.329,0.291,0.309,0.251,0.302,0.226,0.113,0.322
MN,0.324,0.294,0.341,0.35,0.331,0.34,0.338,0.313,0.307,0.297
MS,0.492,0.33,0.41,0.362,0.431,0.312,0.589,0.381,0.354,0.409
MO,0.184,0.248,0.153,0.127,0.23,0.186,0.15,0.206,0.193,0.262
MT,0.388,0.47,0.352,0.362,0.643,0.47,0.109,0.466,0.374,0.564
NE,0.25,0.283,0.325,0.248,0.293,0.325,0.212,0.229,0.28,0.339
NV,0.794,0.869,0.745,0.795,0.796,0.745,0.82,0.801,0.797,0.767
NH,0.489,0.549,0.285,0.519,0.256,0.285,0.45,0.36,0.416,0.393
NJ,0.261,0.37,0.324,0.327,0.309,0.247,0.339,0.234,0.372,0.338
NM,0.167,0.189,0.352,0.222,0.334,0.352,0.298,0.163,0.109,0.292
NY,0.281,0.25,0.273,0.242,0.223,0.26,0.243,0.241,0.232,0.184
NC,0.292,0.272,0.317,0.219,0.367,0.292,0.368,0.247,0.253,0.305
ND,0.504,0.432,0.53,0.477,0.578,0.509,0.507,0.471,0.476,0.458
OH,0.189,0.189,0.264,0.243,0.159,0.226,0.203,0.183,0.19,0.297
OK,0.19,0.159,0.383,0.247,0.401,0.195,0.511,0.411,0.27,0.262
OR,0.553,0.424,0.559,0.346,0.706,0.465,0.746,0.43,0.451,0.533
PA,0.415,0.453,0.376,0.398,0.369,0.41,0.565,0.45,0.445,0.309
RI,0.401,0.532,0.318,0.434,0.361,0.343,0.451,0.352,0.347,0.24
SC,0.297,0.342,0.253,0.307,0.257,0.283,0.508,0.281,0.263,0.293
SD,0.256,0.242,0.289,0.218,0.161,0.195,0.478,0.265,0.227,0.236
TN,0.382,0.365,0.311,0.356,0.31,0.334,0.385,0.329,0.356,0.544
TX,0.314,0.304,0.287,0.275,0.306,0.287,0.213,0.138,0.294,0.265
UT,0.161,0.281,0.36,0.263,0.284,0.327,0.298,0.335,0.263,0.272
VT,0.502,0.496,0.515,0.579,0.562,0.515,0.678,0.464,0.474,0.58
VA,0.213,0.17,0.184,0.19,0.403,0.162,0.235,0.17,0.137,0.264
WA,0.427,0.565,0.406,0.425,0.53,0.406,0.318,0.417,0.29,0.476
WV,0.347,0.257,0.346,0.299,0.271,0.313,0.294,0.266,0.249,0.203
WI,0.314,0.32,0.307,0.368,0.296,0.315,0.405,0.254,0.281,0.362
WY,0.444,0.519,0.472,0.558,0.435,0.444,0.694,0.436,0.453,0.529
mean,0.372,0.385,0.383,0.38,0.431,0.369,0.444,0.36,0.359,0.383
