,0
0,-0.018674706766869255
1,0.0036424268513409793
2,-0.035164495218904995
3,0.03968905320457228
4,0.0
5,0.08232906498828133
6,0.013184913316344119
7,0.0
8,0.0
9,0.0
10,0.0
11,0.04004602070566443
12,-0.0
13,0.048491580027001116
14,0.06260051573382838
15,0.0
16,0.05423219255856488
17,0.10022811476639293
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0875844337931652
25,0.0520949166388174
26,0.0
27,-0.0
28,-0.0
29,0.11936761549128816
30,0.124630599788284
31,0.04341198131412802
32,0.0
33,0.0
34,0.013649142730544458
35,0.023259777215157703
36,0.0
37,-0.0
38,-0.0
39,0.07699805442096178
40,0.0
41,0.013248952986897032
42,-0.0
43,0.0
44,0.08671475597929101
45,0.024910972935203755
46,0.0
47,0.009977094107589622
48,-0.0
49,0.0
50,-0.2219344963927662
