,0
0,-0.0
1,0.0
2,-0.0
3,0.024259155420445835
4,0.00465827576886215
5,0.0234057263931764
6,0.04092044473919721
7,0.015846425202685685
8,0.0227783770837171
9,0.0
10,0.0
11,0.0
12,-0.0
13,0.0
14,0.04787834428703927
15,0.05909059697312181
16,0.0
17,0.08141385238880952
18,0.0
19,0.02213557581262352
20,0.01650485367518113
21,0.0
22,0.0
23,0.052931512886157064
24,0.06628214632098572
25,0.005910562815967347
26,0.02367565153695675
27,-0.0
28,0.0
29,0.012163009453005873
30,0.09360012468789458
31,0.009158825891610708
32,0.006045503935638506
33,0.040846221241275724
34,0.0753225693933008
35,0.0
36,0.038561854447356124
37,0.0
38,0.0
39,0.010653237929124572
40,0.017309740246437687
41,0.02092842831152597
42,-0.0
43,0.0
44,0.0015033688108863179
45,0.0
46,0.026796337374390886
47,0.0
48,0.006190867405128556
49,0.020803525920142278
50,0.05741568014041276
