12216034945,12396638008,12527579335,12698199712,13063738367,13173724616,13322869957,13373411060,13651620704,13806327528,13856384276,14303607492,13895107812,14014035348,14133128140,14233568700,14478915424,14707228756,14916873884,15142533936,15292967468,15510780836,15623769336,15763126360,15736838784,15895663380,16011190840,16007414996,16236220279,16353216508
308468490,309048598,309688210,310318948,310843061,311369051,311995557,312623646,313171373,313705891,314338295,314962033,315432156,315920276,316537868,317191071,317729889,318268195,318917517,319571992,320088258,320609692,321223606,321827030,322311070,322837992,323453772,324053702,324544170,325059433
39602,40112,40452,40920,42027,42309,42702,42778,43592,44010,44081,45414,44051,44359,44649,44874,45570,46210,46773,47384,47777,48379,48638,48980,48825,49237,49501,49397,50028,50308
158117675,160397664,162758813,163753648,165119382,165874564,167509514,167878168,169371232,170679964,169824096,173650176,171649760,172462116,173912596,173135044,174941688,177599988,179776188,182133884,183085500,185041040,186423336,187389140,187710020,189396740,189822048,189719088,193484641,194928521
4777056,4782763,4788042,4792457,4795264,4798051,4802498,4807165,4810756,4813995,4818591,4823038,4825170,4827624,4831776,4836192,4838905,4841532,4845482,4849240,4850867,4852600,4855780,4858849,4860034,4861952,4865134,4868037,4869214,4870849
33099,33537,33993,34169,34434,34571,34880,34922,35207,35455,35244,36004,35574,35724,35994,35800,36153,36683,37102,37559,37743,38132,38392,38567,38623,38955,39017,38972,39736,40019
34126579,34566896,34893693,35258540,36119663,36964076,37489045,38032852,38155492,38485332,38452884,38869088,37732772,37700408,38028972,38201904,39482232,40082052,40447340,40958288,41465564,41751284,41713136,41874360,41140060,41318688,41392968,41281384,41467716,41842819
708452,712142,715196,717456,719525,721617,723822,725993,728011,730040,731933,733515,734813,736133,736908,736984,736858,736728,736954,737334,737457,737590,738322,739435,740326,741344,742499,743592,744486,745466
48171,48539,48789,49144,50199,51224,51793,52387,52411,52717,52536,52990,51350,51214,51606,51835,53582,54405,54884,55549,56228,56605,56497,56630,55570,55735,55748,55516,55700,56130
211394499,213876248,216213497,218726176,223355176,224767960,226982168,228250236,232122828,235158588,235064972,242534832,238370956,241377160,243608924,245368976,250828444,253448888,257094776,261413352,265233608,269348416,271080224,275370868,275536324,279373024,283445444,282125356,287548010,290254964
6385000,6400176,6416880,6432828,6446365,6459803,6478511,6500254,6520012,6539406,6560518,6580957,6597958,6615164,6637522,6662947,6685648,6708179,6733714,6759798,6782692,6805568,6832910,6862401,6889190,6916727,6946566,6976301,7003521,7031107
33108,33417,33694,34002,34648,34795,35036,35114,35602,35960,35830,36854,36128,36488,36702,36826,37517,37782,38180,38672,39104,39578,39673,40127,39995,40391,40804,40441,41058,41282
90698687,92594664,94006457,94355320,97789978,98265336,99948906,101182300,104519844,106226284,106119692,109792248,106117532,106395752,106935020,106416524,109864808,112189212,113258368,115418780,114444052,115986372,116932212,117548572,117413252,118958112,118969228,119451360,121790478,122553330
