,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.067,0.087,0.101,0.085,0.095,0.087,0.5,0.083,0.088,0.215
AK,0.2,0.597,0.28,0.301,0.242,0.319,0.175,0.199,0.243,0.145
AZ,0.059,0.243,0.06,0.065,0.031,0.059,0.44,0.032,0.053,0.213
AR,0.091,0.098,0.1,0.111,0.086,0.098,0.431,0.101,0.093,0.77
CA,0.038,0.133,0.058,5.975,0.066,0.058,0.368,0.06,0.051,6.626
CO,0.023,0.071,0.054,0.1,0.035,0.038,0.301,0.018,0.018,0.039
CT,0.179,0.623,0.109,0.554,0.185,0.217,0.301,0.157,0.141,1.76
DE,0.079,0.327,0.089,0.133,0.098,0.08,0.552,0.079,0.078,0.429
DC,0.046,0.432,0.054,0.376,0.155,0.053,0.519,0.049,0.052,0.299
FL,0.026,0.146,0.028,0.036,0.027,0.021,0.371,0.026,0.017,2.328
GA,0.036,0.233,0.029,0.051,0.106,0.036,0.487,0.042,0.036,0.097
HI,0.015,0.262,0.029,0.019,0.03,0.029,0.441,0.026,0.022,0.439
ID,0.074,0.318,0.066,0.085,0.058,0.067,0.474,0.064,0.068,0.07
IL,0.058,0.241,0.069,0.042,0.057,0.063,0.201,0.067,0.067,1.262
IN,0.075,0.178,0.11,0.137,0.102,0.104,0.556,0.057,0.082,0.099
IA,0.134,0.295,0.129,0.141,0.067,0.134,0.297,0.106,0.129,0.917
KS,0.063,0.706,0.051,0.187,0.074,0.05,0.22,0.108,0.034,0.865
KY,0.067,0.128,0.044,0.046,0.094,0.067,0.358,0.05,0.045,0.509
LA,0.115,0.63,0.149,0.114,0.521,0.12,0.416,0.134,0.129,0.592
ME,0.053,0.265,0.057,0.127,0.052,0.053,0.453,0.056,0.053,1.869
MD,0.091,0.202,0.104,0.254,0.096,0.099,0.628,0.077,0.094,2.078
MA,0.039,0.111,0.059,0.051,0.056,0.051,0.395,0.058,0.036,0.075
MI,0.029,0.096,0.014,0.024,0.03,0.032,0.381,0.041,0.022,0.094
MN,0.074,0.086,0.076,0.083,0.072,0.076,0.514,0.074,0.075,0.042
MS,0.115,0.214,0.138,0.122,0.111,0.1,0.458,0.158,0.131,1.862
MO,0.051,0.261,0.044,0.065,0.046,0.059,0.324,0.032,0.044,0.62
MT,0.059,0.191,0.058,0.129,0.095,0.082,0.487,0.069,0.05,0.371
NE,0.079,0.112,0.062,0.062,0.08,0.079,0.328,0.061,0.067,1.974
NV,0.099,0.324,0.085,0.112,0.103,0.11,0.431,0.094,0.095,0.315
NH,0.118,0.31,0.109,0.214,0.139,0.109,0.548,0.111,0.11,0.806
NJ,0.039,0.156,0.042,0.079,0.042,0.038,0.36,0.051,0.037,0.962
NM,0.049,0.164,0.07,0.121,0.056,0.069,0.358,0.037,0.034,1.688
NY,0.08,0.253,0.097,0.372,0.072,0.09,0.307,0.083,0.082,1.403
NC,0.06,0.177,0.066,0.065,0.051,0.064,0.491,0.052,0.063,0.213
ND,0.229,0.701,0.216,0.154,0.279,0.241,0.272,0.192,0.204,0.227
OH,0.034,0.175,0.035,0.066,0.023,0.034,0.369,0.028,0.034,1.102
OK,0.129,1.165,0.031,0.536,0.197,0.039,0.068,0.062,0.099,0.995
OR,0.036,0.308,0.055,0.034,0.088,0.037,0.26,0.062,0.041,0.299
PA,0.069,0.193,0.067,0.089,0.114,0.069,0.468,0.068,0.062,1.153
RI,0.096,0.104,0.107,0.095,0.093,0.105,0.243,0.079,0.105,0.417
SC,0.038,0.246,0.046,0.048,0.045,0.052,0.39,0.028,0.04,0.413
SD,0.123,0.116,0.092,0.125,0.075,0.101,0.169,0.094,0.1,0.209
TN,0.057,0.259,0.044,0.029,0.044,0.057,0.452,0.047,0.055,0.052
TX,0.042,0.359,0.037,0.265,0.047,0.041,0.268,0.052,0.034,1.25
UT,0.048,0.436,0.038,0.136,0.141,0.042,0.516,0.034,0.038,0.275
VT,0.073,0.101,0.089,0.553,0.087,0.078,0.364,0.073,0.083,1.712
VA,0.042,0.06,0.046,0.071,0.047,0.04,0.443,0.031,0.032,0.259
WA,0.081,0.3,0.075,0.122,0.053,0.076,0.474,0.067,0.084,0.75
WV,0.113,0.996,0.173,0.823,0.406,0.121,0.608,0.197,0.185,0.967
WI,0.053,0.097,0.088,0.056,0.07,0.071,0.414,0.07,0.068,0.341
WY,0.214,0.903,0.235,0.674,0.258,0.25,0.296,0.13,0.214,1.02
mean,0.091,0.384,0.097,0.87,0.139,0.102,0.408,0.087,0.092,1.336
