,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.267,0.268,0.259,0.253,0.264,0.253,0.435,0.225,0.246,0.271
AK,0.351,0.383,0.381,0.328,0.349,0.351,0.331,0.329,0.358,0.348
AZ,0.162,0.149,0.28,0.135,0.28,0.239,0.226,0.247,0.215,0.239
AR,0.34,0.283,0.334,0.321,0.342,0.334,0.424,0.309,0.308,0.285
CA,0.445,0.423,0.404,0.436,0.423,0.405,0.579,0.464,0.397,0.373
CO,0.169,0.171,0.19,0.196,0.157,0.168,0.208,0.176,0.177,0.193
CT,0.374,0.397,0.489,0.498,0.484,0.474,0.444,0.389,0.402,0.387
DE,0.35,0.406,0.428,0.3,0.463,0.417,0.594,0.337,0.369,0.339
DC,0.748,0.691,0.614,0.694,0.628,0.634,0.655,0.823,0.72,0.746
FL,0.271,0.269,0.278,0.211,0.264,0.274,0.287,0.343,0.263,0.254
GA,0.296,0.326,0.318,0.344,0.316,0.316,0.336,0.404,0.322,0.371
HI,0.178,0.237,0.233,0.238,0.222,0.204,0.29,0.249,0.2,0.226
ID,0.272,0.271,0.273,0.278,0.265,0.263,0.41,0.322,0.261,0.467
IL,0.228,0.299,0.238,0.198,0.204,0.236,0.214,0.27,0.275,0.179
IN,0.274,0.278,0.263,0.273,0.278,0.267,0.271,0.319,0.276,0.305
IA,0.214,0.342,0.247,0.231,0.255,0.258,0.347,0.218,0.243,0.284
KS,0.128,0.296,0.169,0.172,0.192,0.164,0.405,0.213,0.183,0.285
KY,0.387,0.386,0.397,0.371,0.388,0.396,0.472,0.379,0.394,0.459
LA,0.438,0.496,0.464,0.432,0.435,0.464,0.405,0.448,0.474,0.473
ME,0.367,0.299,0.306,0.324,0.301,0.305,0.475,0.363,0.334,0.563
MD,0.426,0.43,0.318,0.416,0.336,0.338,0.45,0.392,0.367,0.376
MA,0.527,0.569,0.566,0.56,0.588,0.566,0.675,0.503,0.498,0.889
MI,0.252,0.262,0.22,0.251,0.198,0.22,0.31,0.255,0.234,0.261
MN,0.328,0.341,0.339,0.366,0.325,0.325,0.34,0.357,0.327,0.374
MS,0.281,0.45,0.232,0.227,0.286,0.286,0.449,0.464,0.322,0.415
MO,0.305,0.411,0.301,0.296,0.364,0.297,0.349,0.326,0.335,0.357
MT,0.281,0.222,0.328,0.337,0.441,0.323,0.424,0.282,0.264,0.313
NE,0.224,0.239,0.28,0.28,0.289,0.263,0.251,0.271,0.255,0.369
NV,0.585,0.525,0.608,0.507,0.599,0.555,0.521,0.648,0.61,0.47
NH,0.657,0.683,0.567,0.613,0.545,0.567,0.656,0.562,0.616,0.609
NJ,0.368,0.349,0.433,0.438,0.408,0.392,0.483,0.345,0.346,0.288
NM,0.378,0.456,0.407,0.348,0.338,0.407,0.342,0.409,0.423,0.475
NY,0.513,0.571,0.56,0.538,0.551,0.555,0.605,0.478,0.524,0.568
NC,0.305,0.377,0.294,0.353,0.27,0.312,0.398,0.359,0.317,0.25
ND,0.34,0.295,0.328,0.363,0.299,0.323,0.377,0.296,0.318,0.307
OH,0.123,0.202,0.152,0.125,0.138,0.15,0.177,0.12,0.141,0.158
OK,0.748,0.778,0.682,0.722,0.659,0.697,0.808,0.801,0.745,0.743
OR,0.443,0.496,0.432,0.45,0.461,0.464,0.775,0.575,0.456,0.484
PA,0.343,0.412,0.359,0.319,0.353,0.343,0.365,0.345,0.348,0.487
RI,0.391,0.388,0.395,0.383,0.396,0.389,0.465,0.413,0.389,0.368
SC,0.264,0.218,0.324,0.285,0.267,0.278,0.719,0.281,0.24,0.217
SD,0.205,0.212,0.195,0.211,0.199,0.193,0.217,0.2,0.2,0.246
TN,0.463,0.506,0.427,0.522,0.447,0.427,0.534,0.487,0.458,0.512
TX,0.311,0.317,0.33,0.314,0.315,0.313,0.315,0.246,0.29,0.459
UT,0.558,0.62,0.534,0.638,0.56,0.559,0.615,0.667,0.567,0.736
VT,0.39,0.427,0.426,0.404,0.412,0.407,0.458,0.422,0.402,0.544
VA,0.215,0.231,0.263,0.235,0.233,0.228,0.255,0.218,0.229,0.235
WA,0.487,0.525,0.452,0.503,0.488,0.472,0.88,0.476,0.468,0.56
WV,0.253,0.199,0.309,0.351,0.232,0.234,0.467,0.315,0.246,0.27
WI,0.316,0.326,0.308,0.291,0.302,0.309,0.243,0.314,0.321,0.413
WY,0.557,0.512,0.551,0.623,0.504,0.532,0.642,0.524,0.532,0.519
mean,0.382,0.402,0.383,0.389,0.381,0.378,0.469,0.403,0.381,0.429
