,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.028086647521062557
15,0.25269633052929225
16,0.19251438008005972
17,0.03397450614538289
18,0.13955361133702626
19,0.1088654718337015
20,0.0714200155869462
21,0.08483267574553721
22,0.11349545076318245
23,0.023924175829953865
24,-0.012563238031898738
