,HR,VT,Abadie
0,0.3495333349888691,0.6504666791982153,0.0
1,0.0,0.7656238130463403,0.2343761947944766
2,0.0,0.5398511141132187,0.4601488839816669
3,0.0,0.720544289728545,0.2794557132507719
4,0.16245841262288951,0.8375415865627879,0.0
5,0.19472628830615196,0.7940162896666353,0.01125742228356529
6,0.0,0.8347577083382322,0.16524229049274555
7,0.18848675714363095,0.0,0.8115132523515892
8,0.5399847238348694,0.4600152952343903,0.0
9,0.638274931503274,0.36172506775127494,0.0
10,0.0,0.7642685856424434,0.23573141371452996
11,0.0,0.9675317305407747,0.0324682690775335
12,0.0,1.0000000044047432,0.0
13,0.39052751437987865,0.6094724837946144,0.0
14,0.0,0.0,1.0000000037335588
15,0.0,0.6823358246930101,0.3176641750384512
16,0.0,0.0,1.0000000000334748
17,0.0,0.9999999996412423,0.0
18,0.0,0.9144825169351459,0.08551748290635847
19,0.0,0.9999999993178234,0.0
20,0.036635796187149315,0.9201902188198192,0.043173984668363356
21,0.0,0.5612986246283571,0.43870139210220005
22,0.0,0.989584008972348,0.010415993013908808
23,0.3168432886620404,0.5683520089476531,0.1148046986721238
24,0.015725458151139158,0.699964870769865,0.2843096705600687
