,MC,HR,VT,Abadie
MC,0.9999999999999998,0.8458974121156534,0.7768267822352146,0.7603266135121324
HR,0.8458974121156534,1.0,0.6930173093782754,0.874592795734273
VT,0.7768267822352146,0.6930173093782754,1.0,0.6664590129144908
Abadie,0.7603266135121324,0.874592795734273,0.6664590129144908,1.0
