,MC,HR,VT,intercept
AL,0.42765613371503364,0.49312375118144997,0.043736022465224955,0.06352553867405408
AK,0.18562313614410095,0.17961146573438946,0.6464592592219317,-0.006085937815087594
AZ,1.530854422446302,-0.14526711262950204,-0.3748096791094663,-0.0262109760631275
AR,1.1732011808449625,-0.10507792384171558,-0.09960666273014103,0.03547450144752817
CA,-0.02287081156101092,-0.10435911367542461,1.1248251731102714,0.05048883486143296
CO,1.2289562355750991,0.11511666581051941,-0.3369703234369616,-0.022566004156448827
CT,1.3901079534829073,0.24530900508136402,-0.7211881654540415,0.20877460849861196
DE,0.2384798248056125,-0.03204747253838525,0.7687260509811249,0.010517491571829296
DC,0.8476416868700251,-0.14460562427297438,0.24300690240892622,0.025479350131139222
FL,0.5723082309075538,0.14105235373899466,0.29111444651467555,-0.03409620276178593
GA,0.9617603920537837,-0.146696144306515,0.20415980538958492,-0.07375034995711705
HI,0.8512967154307377,-0.020352115159502623,0.1424517669663673,0.017206639539345425
ID,0.3814398225515522,-0.0013990703100170143,0.6114841657456928,0.004871100745404089
IL,0.888878371697315,0.1207000019251858,-0.0060087961641534515,-0.020515425150225752
IN,1.1671226731529605,0.3390343639036631,-0.509586900909691,0.011311251569474656
IA,0.8188832234996108,0.3289764195080159,-0.1587190831862563,0.013001045069777284
KS,0.9573824924938452,-0.07068401486581173,0.09198639140766465,0.0277209939370473
KY,0.3962252691499315,0.7449555253531558,-0.17162062897175212,0.048734158443836995
LA,1.0948576283963303,-0.5332769799658095,0.40315867909306063,0.0657063567289351
ME,0.7253706217100367,0.01109118084055949,0.2212066251752135,0.022831126982038152
MD,1.5004220038132339,-0.20929472761884704,-0.26070258772140736,-0.0995416808565599
MA,0.4800513468017531,0.43196790481595043,0.07337751915647844,0.06156793070324884
MI,0.6199959502150627,0.2540040781256028,0.1231384186366933,0.01480257252523165
MN,1.1838325780241277,-0.2355927754072277,0.05537499034588736,-0.008024332209548568
MS,0.5850594321756271,0.35418919030437146,0.05235191722467797,0.007332338717996545
MO,1.3598119881115192,-0.02664785071483522,-0.34053366509002114,0.01841661772888603
MT,0.24637321337885887,0.06299637418492998,0.6835953984295653,0.002296169525340952
NE,0.8937783845760043,-0.21364643687448545,0.27355700599758814,0.042053656910103876
NV,0.7113136178766174,0.17081653149333895,0.11214133615817548,0.004768494544603374
NH,0.7180101072252275,-0.08537731738474552,0.3306451001607821,0.02638827939989974
NJ,0.7558091819865201,-0.07161239669963052,0.3266753373999277,-0.056255373608047776
NM,0.8531679562196969,0.20114937853613563,-0.09142343930301661,0.026957999840705682
NY,0.1917465186843884,-0.06420569580085589,0.8807010439361274,-0.09244276295775222
NC,1.6188232661542143,-0.02908528764733398,-0.5770113305152934,-0.04632384809188261
ND,0.2514914048546514,0.15203013478163607,0.6417711126817941,-0.01960111319621638
OH,1.3566849074111789,-0.15341555387900235,-0.1833228868065281,-0.09967847383996009
OK,1.196713752422871,-0.01169961930699645,-0.19773594478043274,0.020408368731160698
OR,1.5813442972791911,-0.13600887367906073,-0.45710213751982975,0.019505669571801443
PA,0.9456570369813352,-0.3836119546547392,0.47562459592953454,-0.2387071307937525
RI,0.13571755370983082,0.12032711418713471,0.7574624323311991,-0.007566321371741569
SC,1.2345392178125323,-0.029600478060579416,-0.21063886038889457,0.009333509944327023
SD,0.50257803659108,-0.11145814685680308,0.5144955519485783,0.03737172498249325
TN,1.1037946979343032,0.08953374379264785,-0.18769708206455518,-0.014049300013113886
TX,0.0912253361941818,-0.15816280912500974,1.0651423015219674,0.01672481104970558
UT,1.2194163637922035,-0.279917038586474,0.03722175805463218,0.02866670261679305
VT,0.4048751826863599,-0.005187222139831527,0.5539869358254671,0.013464063596047127
VA,1.3777229722099629,0.15613162337447684,-0.5572724618496594,0.09873720876553627
WA,1.2945494878893529,-0.11433150384784563,-0.1767190898345255,-0.010407220800160655
WV,0.6565672869678425,0.04588955080538237,0.19813637238541418,0.06430670534001992
WI,0.8905654155808033,-0.1499989502175293,0.27242029261107986,-0.03298331104512764
WY,0.26730773598390356,-0.06578023527558075,0.7461876250896777,0.017057502124514456
