,MC,HR,VT,Abadie
MC,1.0,0.5761863076252992,0.6641888943291265,0.12730736511787913
HR,0.5761863076252992,1.0,0.036266720417401865,0.12051799251443865
VT,0.6641888943291265,0.036266720417401865,1.0,-0.06104289080018132
Abadie,0.12730736511787916,0.12051799251443865,-0.06104289080018132,1.0
