,MC,HR,VT
AL,0.5188524173699723,0.16784350516014254,0.3133040774376927
AK,0.4740341509140063,0.18580106020925177,0.340164788835888
AZ,0.4961287260230169,0.15191899531565645,0.3519522786454179
AR,0.49824431098310185,0.17862028167754673,0.32313540731684764
CA,0.5126905067457228,0.18714503608822208,0.3001644571593827
CO,0.5000494168347237,0.17195816843129144,0.3279924147172544
CT,0.5091439690218218,0.16685657385263797,0.3239994570944962
DE,0.4823541985475014,0.15891766671889962,0.35872813468927517
DC,0.38283271354015586,0.18962852990955115,0.42753875652997264
FL,0.4908490864835865,0.17932495060846665,0.3298259628753496
GA,0.5102993676914487,0.19110848204661052,0.2985921502299444
HI,0.62787353666286,0.194416003326594,0.17771045997847265
ID,0.5406497207103145,0.1435990525279219,0.3157512267621709
IL,0.506922838243674,0.17292181947244076,0.32015534225677506
IN,0.5214500259021947,0.1762832695157325,0.30226670454914334
IA,0.5193514795409355,0.19908322081141636,0.2815652996508626
KS,0.37570636835328647,0.1872758227327925,0.4370178088955855
KY,0.5273123346496201,0.16458495950140012,0.30810270581352484
LA,0.4909332958987102,0.11914047857402817,0.38992622547961464
ME,0.4938954273400022,0.17493616956646849,0.33116840307344586
MD,0.49824883074456416,0.1788015040199411,0.3229496652113036
MA,0.4918053373249592,0.1812244564924831,0.32697020617102424
MI,0.4876901925159504,0.11112905457342603,0.4011807528615959
MN,0.49628633484305307,0.16988760972173603,0.3338260554249779
MS,0.45594280015974176,0.1828242864841498,0.3612329133474492
MO,0.5127243300468173,0.17295872762861594,0.31431694229148455
MT,0.5099302822935123,0.18819042623771856,0.3018792914626176
NE,0.6649525657475333,0.1764712797822819,0.15857615446976184
NV,0.4932022211713084,0.22320285224961206,0.28359492653188567
NH,0.4922115393584089,0.18316395194436116,0.324624508669363
NJ,0.5152079408829795,0.1765516141531112,0.3082404449356651
NM,0.5034131464151179,0.18026515758929773,0.31632169597818405
NY,0.5567038401512808,0.2222693628314885,0.22102679699005376
NC,0.4963424677350924,0.18166196462654108,0.3219955676120402
ND,0.5017965294334087,0.27120352075618814,0.2269999497855365
OH,0.4636151642607604,0.19124220086158658,0.3451426348602772
OK,0.465364305522832,0.12309189210009246,0.4115438023294636
OR,0.5076870750289347,0.18838111879772082,0.30393180613735943
PA,0.5156309579777618,0.1724043910946132,0.3119646508929856
RI,0.493544171874671,0.19006534659980412,0.3163904815094449
SC,0.4987610837652163,0.1772155165275681,0.32402339968333604
SD,0.4356217104644129,0.15915493900092706,0.40522335049912966
TN,0.5177380007118613,0.19432541910147286,0.2879365801576314
TX,0.5442615375311772,0.12728667296244486,0.32845178950314835
UT,0.44940252377223777,0.22775476398623362,0.3228427122042538
VT,0.4999020261803151,0.1857464081100999,0.314351565682155
VA,0.49547551168779086,0.17742510517891888,0.3270993831151747
WA,0.42363972335135347,0.2277741521162729,0.3485861245015692
WV,0.3970365276344723,0.23639944648136432,0.36656402587718767
WI,0.5294401096526055,0.17252250755507073,0.2980373827535951
WY,0.5322876402568485,0.15747930359235138,0.31023305613791574
