,MC,HR,VT,Abadie
MC,1.0,0.22537475230680415,-0.019502631513097328,0.3587797110240664
HR,0.22537475230680415,0.9999999999999999,0.42896024942461247,0.2307507137170653
VT,-0.019502631513097328,0.4289602494246125,1.0,0.2352407882314784
Abadie,0.3587797110240664,0.2307507137170653,0.23524078823147843,0.9999999999999999
