,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+Abadie
0,0.2526,0.28774,0.24671,0.31592,0.27669,0.27351,0.27973,0.28082
1,0.64711,0.73435,0.61204,0.62457,0.56369,0.63591,0.57164,0.62376
2,0.39761,0.43688,0.40754,0.57316,0.39679,0.37816,0.42006,0.40041
3,0.34765,0.36185,0.39789,0.40312,0.36029,0.39506,0.36912,0.39576
4,1.04299,0.90529,0.91933,0.99749,0.97889,0.93957,0.98555,0.98993
5,0.73574,0.66344,0.77993,0.65229,0.67972,0.7146,0.67191,0.61697
6,1.56413,1.59413,1.5627,1.7323,1.52563,1.55069,1.56012,1.57958
7,0.69701,0.55355,0.655,0.62344,0.63833,0.61675,0.64614,0.62904
8,1.09236,0.99036,1.05179,1.02218,1.03917,1.02523,1.04758,1.07912
9,1.00622,1.0913,0.25708,1.15279,0.6313,0.57263,0.65918,0.59595
10,0.9145,0.80651,0.74345,0.82347,0.79469,0.75841,0.79368,0.78111
11,0.90444,0.94133,0.66048,0.90875,0.81918,0.78361,0.81857,0.71369
12,0.42154,0.30434,0.35181,0.37031,0.32746,0.32676,0.33097,0.33036
13,1.46553,1.67597,1.49499,1.74209,1.59697,1.58504,1.61019,1.58521
14,1.42536,1.48536,1.45048,1.42714,1.41381,1.46466,1.41797,1.45021
15,1.08292,0.92159,0.82473,0.95985,0.81723,0.80894,0.83913,0.83427
16,0.53036,0.6132,0.53156,0.4969,0.52486,0.5444,0.52113,0.53699
17,0.42261,0.51844,0.30476,0.36414,0.3217,0.34733,0.32001,0.34591
18,1.54622,1.54541,1.44528,1.55433,1.46805,1.46099,1.47146,1.46769
19,1.01011,0.91423,0.6334,0.94519,0.83034,0.75341,0.85233,0.78746
20,0.66869,0.50671,0.41979,0.52601,0.42794,0.45381,0.43735,0.45895
21,0.37022,0.27495,0.2765,0.27223,0.27595,0.26073,0.2711,0.25937
22,0.56713,0.50704,0.53775,0.53088,0.49419,0.51405,0.50212,0.56878
23,0.63836,0.39999,0.21901,0.56607,0.47796,0.3097,0.48127,0.33422
24,0.98231,0.90583,0.95435,0.80762,0.93785,0.93485,0.92104,0.88193
25,0.61061,0.4608,0.45206,0.43067,0.4777,0.4497,0.48271,0.4592
26,0.66394,0.63349,0.67233,0.65709,0.64907,0.65512,0.65122,0.61875
27,0.65981,0.68214,0.79553,0.84707,0.66534,0.77898,0.71746,0.77186
28,0.81258,0.6685,0.83963,0.73707,0.78973,0.73071,0.78092,0.72728
29,0.64386,0.36255,0.45813,0.43359,0.42091,0.41852,0.42744,0.35701
30,0.55109,0.52726,0.6242,0.51146,0.57424,0.5596,0.56597,0.55954
31,0.55091,0.58736,0.75311,0.50573,0.62693,0.67066,0.6209,0.62906
32,1.39849,1.18194,1.07928,1.43373,1.11436,1.06303,1.12684,1.0773
33,1.65108,1.66517,1.6724,1.63833,1.64298,1.64488,1.6388,1.63982
34,0.96439,1.14903,1.13954,1.12977,0.99513,1.1371,1.01449,1.12156
35,0.67494,0.59411,0.46217,0.65966,0.51483,0.49752,0.52653,0.51054
36,0.69756,0.5022,0.33726,0.58129,0.45144,0.39163,0.429,0.38475
37,0.47402,0.39386,0.35737,0.33349,0.3435,0.35388,0.33416,0.35147
38,0.95492,0.83541,0.792,0.84983,0.82266,0.81103,0.8252,0.81164
39,0.93713,1.16542,0.93461,1.0593,0.98803,1.03229,0.99757,1.0241
40,0.2635,0.36356,0.19585,0.12375,0.2383,0.17961,0.22658,0.17512
41,0.43124,0.36521,0.40331,0.387,0.35491,0.33311,0.35807,0.37684
42,0.4809,0.33128,0.27892,0.24713,0.25365,0.25403,0.25033,0.24553
43,0.94596,1.05283,1.08085,1.08905,0.97148,1.02987,0.9715,1.01115
44,0.76476,0.70253,0.66103,0.82144,0.69046,0.67957,0.7201,0.70938
45,0.90794,0.98153,0.9187,0.94357,0.89087,0.92728,0.89203,0.899
46,0.30381,0.3839,0.23383,0.22307,0.25121,0.25197,0.24879,0.24369
47,1.35728,1.29404,1.07917,1.17778,1.22697,1.17397,1.21772,1.17098
48,0.75597,0.85354,0.52855,0.78423,0.68037,0.65264,0.67719,0.66261
49,0.5653,0.61492,0.50337,0.48836,0.53102,0.53956,0.52749,0.51741
50,1.06786,0.7721,0.91407,0.84952,0.87487,0.83913,0.86099,0.82747
51,0.79542,0.79083,0.80949,0.83129,0.74859,0.81344,0.75521,0.78556
52,0.74843,0.83401,0.73779,0.81006,0.74702,0.76539,0.74331,0.75777
53,0.58761,0.65391,0.57243,0.66446,0.59431,0.58006,0.59842,0.58635
54,0.56191,0.34588,0.36965,0.34227,0.43584,0.33837,0.4256,0.33795
55,0.36016,0.38748,0.36968,0.33325,0.34969,0.34932,0.35202,0.34658
56,0.95675,1.01965,0.91984,0.94634,0.94416,0.94314,0.94234,0.94462
57,0.69798,0.66343,0.4193,0.61072,0.55583,0.55614,0.57128,0.57301
58,1.11749,0.97587,0.78862,0.86364,0.76876,0.79889,0.7692,0.81579
59,0.58289,0.53525,0.49316,0.44801,0.49729,0.43504,0.49737,0.46507
60,0.4882,0.73696,0.57173,0.67934,0.51195,0.63972,0.52402,0.63625
61,1.86293,1.81543,1.87617,1.79477,1.84058,1.84303,1.83416,1.83863
62,0.97583,1.05991,1.0814,1.04402,1.06392,1.06976,1.0622,1.06917
63,0.57842,0.53149,0.59127,0.52928,0.52183,0.51518,0.52253,0.51818
64,0.66037,0.47548,0.75091,0.64827,0.55708,0.6743,0.5774,0.65126
65,0.56404,0.65628,0.47213,0.74842,0.50743,0.51729,0.5199,0.53459
66,0.98135,0.89673,0.83179,1.0718,0.68316,0.79488,0.69906,0.83472
67,0.69018,0.61059,0.64688,0.53395,0.64705,0.63867,0.64389,0.62592
68,0.95627,0.91457,0.88329,0.8557,0.87467,0.87924,0.86821,0.86848
69,1.17561,1.33289,1.28201,1.24071,1.31884,1.3201,1.31387,1.31631
70,0.87488,0.85887,0.80907,0.86504,0.8101,0.81462,0.81413,0.81429
