,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+Abadie
0,0.47338,0.62966,0.36364,0.47632,0.38808,0.39067,0.42021,0.43062
1,0.76926,0.79092,0.65799,0.68061,0.65799,0.65799,0.65125,0.65125
2,0.39145,0.55571,0.61079,0.51512,0.55571,0.55571,0.52495,0.52495
3,0.42871,0.46871,2.27459,1.65773,0.46871,0.44075,1.0895,1.08918
4,0.88829,0.86042,0.89357,0.84656,0.85946,0.84773,0.84773,0.85287
5,0.78829,0.70757,0.88896,0.6845,0.88896,0.88896,0.74032,0.74032
6,1.17202,1.25553,1.17877,1.17699,1.19046,1.19046,1.19046,1.19046
7,0.86825,0.91391,1.22504,0.78523,0.91391,0.91391,0.91391,0.91391
8,0.9324,1.01349,1.00144,1.11497,1.00015,0.97374,0.98796,1.00468
9,0.37411,1.95777,0.55926,1.51051,0.55926,0.55926,0.55926,0.55926
10,1.84948,1.61386,1.73406,1.7353,1.6777,1.6777,1.6777,1.6777
11,0.78588,1.10569,1.20055,1.21352,1.13239,1.13239,1.13239,1.13239
12,0.44787,0.44342,0.37123,0.51383,0.44342,0.44342,0.44342,0.44342
13,1.6326,1.88154,1.64814,1.588,1.64814,1.6326,1.60128,1.60828
14,0.57594,0.55031,0.59944,0.6345,0.55031,0.55031,0.6345,0.6345
15,0.67549,0.75325,0.76814,1.05374,0.72324,0.66425,0.76652,0.88028
16,0.65077,0.74025,0.67685,0.79274,0.74025,0.7392,0.74129,0.74129
17,0.36475,0.40644,0.23543,0.46037,0.23543,0.36475,0.36475,0.26255
18,1.59874,1.52174,1.72745,1.76348,1.56832,1.56759,1.56759,1.56832
19,1.20717,1.85824,1.32733,1.44674,1.69656,1.23536,1.22186,1.5172
20,0.4818,0.57402,1.07906,1.01011,1.04203,1.04203,1.0282,1.0282
21,0.38119,0.43024,0.50181,0.41435,0.44918,0.39551,0.36382,0.41857
22,0.24409,0.48998,0.63753,0.39298,0.63753,0.5075,0.5075,0.63753
23,0.82933,1.14878,0.69038,1.37762,0.69038,0.81793,0.81793,0.69002
24,0.92451,0.90384,1.38001,0.89227,0.86055,0.86635,0.85501,0.85501
25,0.92426,0.88887,0.92656,0.67138,0.87743,0.87743,0.87743,0.87743
26,1.36599,1.28633,1.50157,1.50416,1.28633,1.28633,1.33956,1.33956
27,0.52443,0.53959,0.62953,0.52535,0.53959,0.52012,0.52012,0.53959
28,1.03047,0.68221,1.10719,0.89123,1.04503,1.02641,0.96211,0.96282
29,0.38393,0.36201,0.54718,0.67704,0.42286,0.42099,0.41734,0.42845
30,0.58511,0.48287,0.52629,0.51271,0.48287,0.5082,0.49517,0.49367
31,0.63984,0.69646,0.58961,0.50213,0.61703,0.6023,0.52153,0.52273
32,1.58017,1.25516,1.31235,1.57547,1.31235,1.31727,1.31727,1.31235
33,1.71732,1.66197,1.82668,1.59167,1.82668,1.71732,1.70975,1.79104
34,1.02076,0.9375,1.12156,2.81331,0.97733,0.97733,0.97733,0.97733
35,1.09357,1.00037,1.17996,1.20325,1.17996,1.17427,1.17427,1.17996
36,0.56831,0.51755,0.4906,1.13313,0.4306,0.4306,0.89886,0.89886
37,0.53216,0.52041,0.79415,0.76754,0.58048,0.53313,0.52817,0.55317
38,1.31252,1.30228,1.20735,1.55779,1.30228,1.30228,1.30704,1.30704
39,1.18121,1.52079,1.1352,1.17996,1.52079,1.31094,1.31094,1.52079
40,0.44037,0.46063,0.44249,0.36462,0.44249,0.44249,0.3866,0.3866
41,0.43194,0.42983,0.60526,0.47152,0.59316,0.59316,0.55077,0.55077
42,0.45197,0.4012,0.32283,0.55296,0.35364,0.35364,0.34819,0.34819
43,0.90965,0.83596,0.8235,1.03193,0.79694,0.79694,0.79694,0.79694
44,1.37236,1.63327,1.44496,1.93049,1.58191,1.48491,1.55433,1.64672
45,0.74258,0.7474,0.8692,0.75159,0.76591,0.76591,0.76591,0.76591
46,0.42362,0.45395,0.48456,0.46921,0.48456,0.47418,0.4559,0.4559
47,1.40396,1.64679,1.4554,1.67002,1.4952,1.47644,1.47644,1.4952
48,0.54563,0.73786,0.67701,0.86825,0.66718,0.62988,0.62988,0.66718
49,0.49096,0.40763,1.15572,0.92922,0.40763,0.40763,0.54572,0.54572
50,1.0645,1.23835,1.27137,1.45989,1.27137,1.22013,1.22013,1.27137
51,0.84602,0.69215,0.90135,0.61239,0.73532,0.78757,0.75956,0.68952
