,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.028,0.026,0.118,0.044,0.021,0.027,0.202,0.031,0.031,0.14
AK,0.048,0.182,0.075,0.03,0.043,0.047,0.08,0.236,0.081,0.054
AZ,0.026,0.069,0.102,0.038,0.03,0.025,0.283,0.075,0.022,0.071
AR,0.02,0.03,0.105,0.028,0.021,0.02,0.154,0.076,0.016,0.212
CA,0.143,0.143,0.144,2.198,0.101,0.143,0.357,0.131,0.142,2.1
CO,0.025,0.094,0.056,0.116,0.026,0.025,0.311,0.102,0.049,0.095
CT,0.064,0.136,0.446,0.2,0.061,0.088,0.098,0.121,0.086,0.32
DE,0.051,0.286,0.086,0.049,0.061,0.053,0.31,0.224,0.091,0.134
DC,0.078,0.366,0.182,0.255,0.094,0.084,0.423,0.124,0.131,0.244
FL,0.019,0.067,0.08,0.073,0.056,0.045,0.328,0.114,0.026,0.98
GA,0.022,0.073,0.038,0.043,0.02,0.022,0.324,0.108,0.019,0.073
HI,0.059,0.203,0.063,0.093,0.06,0.059,0.342,0.142,0.078,0.216
ID,0.029,0.233,0.034,0.037,0.032,0.028,0.274,0.077,0.068,0.16
IL,0.027,0.09,0.092,0.087,0.027,0.027,0.194,0.062,0.035,0.124
IN,0.037,0.057,0.068,0.045,0.04,0.038,0.265,0.018,0.043,0.052
IA,0.033,0.051,0.1,0.025,0.032,0.036,0.151,0.066,0.029,0.239
KS,0.013,0.125,0.208,0.074,0.015,0.029,0.033,0.185,0.029,0.179
KY,0.029,0.032,0.245,0.024,0.027,0.03,0.188,0.071,0.028,0.205
LA,0.032,0.139,0.16,0.058,0.036,0.036,0.062,0.115,0.028,0.195
ME,0.021,0.187,0.1,0.049,0.021,0.021,0.232,0.149,0.031,0.46
MD,0.02,0.06,0.276,0.042,0.033,0.02,0.276,0.085,0.035,0.627
MA,0.032,0.03,0.021,0.063,0.029,0.03,0.292,0.056,0.027,0.092
MI,0.029,0.029,0.125,0.123,0.025,0.029,0.38,0.11,0.026,0.052
MN,0.025,0.029,0.101,0.033,0.024,0.025,0.228,0.031,0.028,0.032
MS,0.036,0.044,0.201,0.089,0.035,0.035,0.126,0.164,0.04,0.321
MO,0.029,0.091,0.305,0.048,0.032,0.033,0.153,0.075,0.045,0.215
MT,0.039,0.239,0.043,0.051,0.03,0.033,0.256,0.204,0.078,0.101
NE,0.021,0.048,0.049,0.022,0.022,0.021,0.127,0.076,0.022,0.323
NV,0.058,0.149,0.147,0.027,0.031,0.051,0.34,0.105,0.061,0.162
NH,0.04,0.112,0.136,0.072,0.038,0.04,0.213,0.089,0.027,0.203
NJ,0.026,0.062,0.115,0.055,0.023,0.026,0.241,0.064,0.034,0.302
NM,0.019,0.046,0.156,0.045,0.018,0.017,0.094,0.153,0.021,0.33
NY,0.028,0.114,0.09,0.204,0.038,0.041,0.196,0.065,0.056,0.493
NC,0.038,0.038,0.045,0.047,0.038,0.035,0.293,0.04,0.031,0.059
ND,0.077,0.108,0.061,0.276,0.063,0.076,0.08,0.25,0.064,0.108
OH,0.018,0.087,0.08,0.048,0.014,0.018,0.219,0.053,0.031,0.35
OK,0.096,0.247,0.266,0.201,0.088,0.115,0.173,0.173,0.09,0.214
OR,0.04,0.174,0.097,0.077,0.063,0.054,0.411,0.098,0.06,0.274
PA,0.023,0.097,0.156,0.043,0.022,0.024,0.192,0.036,0.042,0.36
RI,0.036,0.172,0.155,0.077,0.029,0.046,0.178,0.173,0.054,0.192
SC,0.026,0.1,0.037,0.021,0.052,0.036,0.322,0.049,0.034,0.127
SD,0.045,0.221,0.087,0.031,0.042,0.043,0.206,0.252,0.075,0.065
TN,0.023,0.064,0.071,0.051,0.037,0.028,0.346,0.053,0.018,0.03
TX,0.045,0.117,0.072,0.147,0.066,0.044,0.117,0.055,0.048,0.396
UT,0.072,0.194,0.129,0.205,0.09,0.075,0.409,0.056,0.083,0.162
VT,0.031,0.365,0.29,0.468,0.051,0.07,0.176,0.394,0.094,0.508
VA,0.033,0.058,0.278,0.065,0.022,0.033,0.218,0.029,0.046,0.093
WA,0.068,0.106,0.094,0.093,0.07,0.075,0.34,0.034,0.07,0.173
WV,0.033,0.049,0.168,0.27,0.031,0.035,0.045,0.234,0.033,0.194
WI,0.019,0.054,0.095,0.023,0.024,0.022,0.201,0.027,0.027,0.059
WY,0.054,0.178,0.204,0.137,0.085,0.086,0.082,0.322,0.077,0.467
mean,0.045,0.145,0.155,0.332,0.046,0.05,0.248,0.139,0.057,0.408
