,0
0,0.005013244615755636
1,0.0
2,0.0
3,0.0011227945615975453
4,0.0
5,0.0
6,0.022819976408983755
7,0.010856432085499811
8,0.028521311010095557
9,0.008554677209069442
10,0.08297903125292014
11,0.1058627626347616
12,0.05395464293789904
13,0.09550633862392066
14,0.05112963806312561
15,0.05290548145964049
16,0.034447312206826675
17,0.036886222035896706
18,0.03987492831404989
19,0.02783304682431854
20,0.028934084322664762
21,0.007673847756981188
22,0.00906640327868768
23,0.0034991553048781972
24,0.012845571176966303
25,0.011862326302417799
26,0.0024543332287494026
27,0.0
28,0.0006538024985179918
29,0.03611515256956343
30,0.018474462546244456
31,0.0
32,0.0034303223433122623
33,0.0
34,0.010824602667153198
35,0.0
36,0.0
37,0.0
38,0.01631557806242244
39,0.0
40,0.0
41,0.012068485551112307
42,0.0
43,0.012097709340133756
44,0.01967081775925572
45,0.011582812480831975
46,0.0009144715798250789
47,0.0
48,0.014502621655343466
49,0.0
50,2.3525565077718067
