,MC,HR,VT,Abadie
MC,1.0,0.8114175224773538,0.8433927299566295,0.9611446997313322
HR,0.8114175224773539,1.0,0.7499235355626703,0.7654358286502058
VT,0.8433927299566296,0.7499235355626703,1.0,0.781664755507989
Abadie,0.9611446997313322,0.7654358286502058,0.781664755507989,1.0
