,0
0,0.012297306303063697
1,0.07957871116758948
2,0.005640734507101877
3,-0.04281753883174293
4,0.04581991483129954
5,0.018276224587065286
6,0.05325195690006655
7,0.003602543550130709
8,0.0
9,-0.0
10,0.0
11,0.0
12,-0.004949596623675504
13,-0.01252282766720448
14,0.11729209834108156
15,0.1061017564575421
16,0.030793134598614068
17,0.05690525990711134
18,0.013987909539865843
19,0.0028346088062370213
20,0.031081127719114154
21,-0.0063991721848491384
22,0.0
23,0.0
24,0.11911772572059622
25,-0.03713484428250974
26,0.0
27,-0.007843970964774613
28,-0.026185318576276796
29,0.0
30,0.062031334221933646
31,0.0
32,-0.0
33,-0.0
34,0.06753968590155633
35,-0.014890026858073249
36,0.1150975858687189
37,-0.05380387960807937
38,0.10133837798202143
39,0.011925667987422487
40,0.0
41,0.038162311858446
42,0.001376445724801148
43,-0.029495313528723532
44,0.000844938106173937
45,0.053246588309000906
46,0.10744356529166242
47,0.0014405283868524602
48,0.0
49,0.005400542934834486
50,-0.10200931970925287
