,MC,HR,VT
AL,0.5375383327243936,0.4624616684526179,0.0
AK,0.5375366131677256,0.46246338800927234,0.0
AZ,0.5327063032866801,0.4672936978764719,0.0
AR,0.5373434175133913,0.4626565836624551,0.0
CA,0.9999999999618018,0.0,0.0
CO,0.5372630455636713,0.46273695560806405,0.0
CT,0.5323420997824908,0.46765790140027985,0.0
DE,0.536761430524002,0.46323857065155893,0.0
DC,0.5363927860715761,0.46360721510326924,0.0
FL,0.5020954137048211,0.49790458734599563,0.0
GA,0.5262171198793761,0.4737828812651449,0.0
HI,0.536798290538542,0.46320171063678756,0.0
ID,0.5363530573800266,0.4636469437946218,0.0
IL,0.5129909470481248,0.487009054166778,0.0
IN,0.5374178719042576,0.46258212926586834,0.0
IA,0.5361889962714804,0.46381100490700505,0.0
KS,0.5349640544820768,0.4650359466951097,0.0
KY,0.5372519888983226,0.462748012280902,0.0
LA,0.5354591127644376,0.4645408884119206,0.0
ME,0.5371300883674298,0.462869912808676,0.0
MD,0.5370346622422942,0.4629653389285864,0.0
MA,0.5378203411946852,0.4621796599754843,0.0
MI,0.5379319409778808,0.4620680601903894,0.0
MN,0.5374918558434572,0.46250814533189666,0.0
MS,0.5375522010454765,0.46244780013182607,0.0
MO,0.5351134698947413,0.46488653128733387,0.0
MT,0.5371524970815179,0.4628475040946266,0.0
NE,0.5375371923887488,0.4624628087887417,0.0
NV,0.5358051552997926,0.46419484587406556,0.0
NH,0.5368993074293459,0.4631006937461762,0.0
NJ,0.5319327694200112,0.4680672317848461,0.0
NM,0.5375875342491895,0.46241246692810434,0.0
NY,0.4889766532171242,0.5110233480474033,0.0
NC,0.5332869650398941,0.46671303611216164,0.0
ND,0.5373133038444556,0.4626866973327482,0.0
OH,0.5291157107766588,0.470884290414665,0.0
OK,0.5186341819014791,0.48136581926481536,0.0
OR,0.5347449887407202,0.4652550124293331,0.0
PA,0.5243950529067772,0.4756049482870544,0.0
RI,0.5375191762549547,0.46248082492198345,0.0
SC,0.5352150299276521,0.4647849712418486,0.0
SD,0.5374918442980942,0.46250815687879143,0.0
TN,0.5345388927746723,0.4654611083929022,0.0
TX,0.03881581153053786,0.9611841895932501,0.0
UT,0.5328408965798935,0.4671591045869033,0.0
VT,0.5371803521659748,0.4628196490104029,0.0
VA,0.5377687809668021,0.4622312202184877,0.0
WA,0.5237968752699302,0.47620312586195984,0.0
WV,0.5374700268146058,0.4625299743624417,0.0
WI,0.5371959707514419,0.4628040304272505,0.0
WY,0.5375366905645206,0.46246331061250184,0.0
