,MC,HR,VT
AL,0.0,0.9885948890353496,0.011405110980271633
AK,0.0,0.9522993768266353,0.04770062317909994
AZ,0.0,0.9922010698272673,0.007798930184024459
AR,0.0,0.9896572828653613,0.010342717154630561
CA,0.0,0.9855139622743663,0.014486037762385997
CO,0.0,0.9902335049471516,0.009766495069164587
CT,0.0,0.971669396372392,0.02833060364001008
DE,0.0,0.9910685608066109,0.008931439203085942
DC,0.0,0.9915759428621714,0.008424057163670185
FL,0.0,0.9948289406719687,0.0051710593319743
GA,0.0,0.9945763143687264,0.005423685636905035
HI,0.0,0.9868652148992269,0.013134785109537002
ID,0.0,0.9767762552949151,0.02322374473793274
IL,0.0,0.9893126907142473,0.01068730930943769
IN,0.0,0.9883782175125938,0.011621782507875414
IA,0.0,1.000000000063825,0.0
KS,0.0,0.992316354668861,0.007683645371094617
KY,0.0,0.9863796619902709,0.013620338026628945
LA,0.0,0.9720592583451916,0.027940741664357185
ME,0.0,0.9871495180735887,0.012850481951266587
MD,0.0,0.9881848997032068,0.011815100318248025
MA,0.0,0.9891049347882527,0.01089506524499103
MI,0.0,0.9840914343838095,0.01590856563337992
MN,0.0,0.9647932754926636,0.03520672455363472
MS,0.0,0.9958261683068899,0.004173831727636563
MO,0.0,0.9858475496735828,0.014152450344449086
MT,0.0,0.9879165731606345,0.012083426878563931
NE,0.0,1.0000000000518414,0.0
NV,0.0,0.999999999978012,0.0
NH,0.0,0.9910156925893593,0.008984307428329737
NJ,0.0,0.9871614117958475,0.012838588224200214
NM,0.0,0.9889185885201566,0.011081411502351986
NY,0.0,0.9775178321558867,0.022482167856576862
NC,0.0,0.989755127218614,0.010244872797414841
ND,0.0,0.9478550560373449,0.052144943973037074
OH,0.0,0.9857389215546087,0.014261078485874596
OK,0.0,0.9417407843508535,0.05825921566003798
OR,0.0,1.000000000005299,0.0
PA,0.0,0.9888023994466355,0.011197600573839893
RI,0.0,0.9906079448903758,0.00939205513735925
SC,0.0,0.9898464292368471,0.010153570782685232
SD,0.0,1.0000000000397469,0.0
TN,0.0,0.9884645398314715,0.0115354601878015
TX,0.0,0.9907031340845058,0.00929686594039784
UT,0.0,0.9999999999973296,0.0
VT,0.0,0.9875565060025453,0.012443494016700144
VA,0.0,0.9879152614836559,0.012084738539766235
WA,0.0,0.9926559417231987,0.007344058293693748
WV,0.0,0.9933444726863446,0.006655527355416285
WI,0.0,0.9875359001598972,0.012464099852540508
WY,0.0,0.9609583607597918,0.03904163925569065
